"Id","Group","Name","Scene","PreviewFile","Path"
"SFX-013","02门与物件","愤怒摔门","决裂、捉奸、愤怒离场","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-013_愤怒摔门.mp3","100-CC0-SFX/slam_01.ogg"
"SFX-014","02门与物件","开关咔哒","开灯、机械开关、门锁动作","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-014_开关咔哒.mp3","100-CC0-SFX/switch_01.ogg"
"SFX-015","02门与物件","纸张翻动","合同、检测报告、名单","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-015_纸张翻动.mp3","100-CC0-SFX/paper_01.ogg"
"SFX-016","02门与物件","文件甩桌","证据曝光、解除合同","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-016_文件甩桌.mp3","100-CC0-SFX/paper_02.ogg"
"SFX-017","02门与物件","椅子移动","落座、突然起身、离席","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-017_椅子移动.mp3","Micro Pack - Chairmat/Chair Roll 1.wav"
"SFX-018","02门与物件","杯碟轻放","茶桌、酒吧、宴会谈话","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-018_杯碟轻放.mp3","100-CC0-SFX/dishes_01.ogg"
"SFX-019","02门与物件","玻璃轻碰","酒杯轻放、轻微碰杯","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-019_玻璃轻碰.mp3","kenney_impactsounds/Audio/impactGlass_light_000.ogg"
"SFX-020","02门与物件","玻璃重撞","酒杯重放、玻璃物件碰撞","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-020_玻璃重撞.mp3","kenney_impactsounds/Audio/impactGlass_heavy_000.ogg"
"SFX-026","03冲突动作","木桌轻拍","轻拍桌面、物件落在木桌","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-026_木桌轻拍.mp3","kenney_impactsounds/Audio/impactWood_light_000.ogg"
"SFX-027","03冲突动作","木桌重拍","愤怒拍桌、重物砸桌","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-027_木桌重拍.mp3","kenney_impactsounds/Audio/impactWood_heavy_000.ogg"
"SFX-028","03冲突动作","身体中等冲击","推搡、轻拳、身体碰撞","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-028_身体中等冲击.mp3","kenney_impactsounds/Audio/impactPunch_medium_000.ogg"
"SFX-029","03冲突动作","身体重冲击","重拳、踹开、激烈冲突","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-029_身体重冲击.mp3","kenney_impactsounds/Audio/impactPunch_heavy_000.ogg"
"SFX-030","03冲突动作","下跪轻触地","双膝接触地面、轻摔软物","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-030_下跪轻触地.mp3","kenney_impactsounds/Audio/impactSoft_medium_000.ogg"
"SFX-031","03冲突动作","人体倒地闷响","人物摔倒或被推倒","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-031_人体倒地闷响.mp3","kenney_impactsounds/Audio/impactSoft_heavy_000.ogg"
"SFX-032","03冲突动作","木质物件跌落","椅子、木盒、木棍倒地","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-032_木质物件跌落.mp3","100-CC0-wood-metal-SFX/wood_falling_01.ogg"
"SFX-033","03冲突动作","玻璃破碎","杯子、镜子明确破裂","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-033_玻璃破碎.mp3","75-cc0-breaking-falling-hit-sfx/bfh1_glass_breaking_01.ogg"
"SFX-036","04反转强调","轻柔呼啸","轻微转头、转身、小幅甩镜","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-036_轻柔呼啸.mp3","Micro Pack - Organic Wooshes/Gentle Swish.wav"
"SFX-037","04反转强调","快速呼啸","证据甩出、快速推进、人物登场","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-037_快速呼啸.mp3","Micro Pack - Organic Wooshes/Classic Swish 1.wav"
"SFX-038","04反转强调","重型揭晓落点","身份揭晓、大佬现身、强反转","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-038_重型揭晓落点.mp3","kenney_impactsounds/Audio/impactBell_heavy_000.ogg"
"SFX-039","04反转强调","轻型强调落点","眼神变化、证据特写、小反转","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-039_轻型强调落点.mp3","kenney_impactsounds/Audio/impactGeneric_light_000.ogg"
"SFX-040","04反转强调","低沉钟击","坏消息、压迫、全场安静","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-040_低沉钟击.mp3","kenney_interfacesounds/Audio/bong_001.ogg"
"SFX-041","04反转强调","电子故障停顿","信息异常、设备画面、谎言穿帮","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-041_电子故障停顿.mp3","kenney_interfacesounds/Audio/glitch_002.ogg"
"SFX-042","04反转强调","确认清亮音","真相确认、名单通过、成功信息","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-042_确认清亮音.mp3","kenney_interfacesounds/Audio/confirmation_001.ogg"
"SFX-043","04反转强调","失败警示音","合作中断、资格取消、拒绝提示","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-043_失败警示音.mp3","kenney_interfacesounds/Audio/error_001.ogg"
"SFX-050","05通讯与产品","手机电磁振动候选","手机震动或来电前提示","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-050_手机电磁振动候选.mp3","Micro Pack - NazdyNate - Electromagnetic Sounds/NazdyNate - Cell Phone 1.wav"
"SFX-051","05通讯与产品","消息轻提示","收到邀请函、转账或通知","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-051_消息轻提示.mp3","kenney_interfacesounds/Audio/click_001.ogg"
"SFX-052","05通讯与产品","电梯到达提示","电梯门打开、人物抵达会场","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-052_电梯到达提示.mp3","100-CC0-SFX/bell_01.ogg"
"SFX-053","05通讯与产品","钱币与付款候选","付款、交易、资金到账的画面动作","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-053_钱币与付款候选.mp3","kenney_rpgaudio/Audio/handleCoins.ogg"
"SFX-054","05通讯与产品","小物件轻落","产品盒、瓶盖、小物件放桌","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-054_小物件轻落.mp3","kenney_interfacesounds/Audio/drop_001.ogg"
"SFX-055","05通讯与产品","软物挤出候选","牙膏、膏体、软管产品操作","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-055_软物挤出候选.mp3","100-CC0-SFX/plop_01.ogg"
"SFX-056","05通讯与产品","产品清亮闪现","产品稳定近景、卖点揭晓","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-056_产品清亮闪现.mp3","kenney_interfacesounds/Audio/glass_001.ogg"
"SFX-057","05通讯与产品","包装关闭轻响","盒盖、包装盖合、物件收起","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-057_包装关闭轻响.mp3","kenney_interfacesounds/Audio/close_001.ogg"
"SFX-061","06环境场面","雨声","雨夜、车内雨景、门外风雨","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-061_雨声.mp3","30-cc0-sfx-loops/rain.ogg"
"SFX-062","06环境场面","雷声","画面中真实暴雨天气","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-062_雷声.mp3","100-cc0-sfx-2/sfx100v2_thunder_01.ogg"
"SFX-063","06环境场面","流水环境","倒茶、流水、庭院水景","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-063_流水环境.mp3","30-cc0-sfx-loops/water_flowing.ogg"
"SFX-064","06环境场面","金属碰撞","金属门、器具、托盘碰撞","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-064_金属碰撞.mp3","kenney_impactsounds/Audio/impactMetal_medium_000.ogg"
"SFX-065","06环境场面","锣声候选","极少量喜剧揭晓或舞台落点","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-065_锣声候选.mp3","100-CC0-SFX/gong_01.ogg"
"SFX-066","06环境场面","小罐跌落","罐装产品、小金属物件落地","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-066_小罐跌落.mp3","Micro Pack - Small Can/Small Crushed Can - Dropping.wav"
"SFX-067","06环境场面","唱片落针候选","复古场景、唱片停顿、特殊转场","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-067_唱片落针候选.mp3","Micro Pack - Record Fuzzies/Needle Drop.wav"
"SFX-068","06环境场面","返回收束音","段落结束、决定撤回、轻收尾","D:\Backup\Documents\无限画布\纯梦短剧老虎机\work\xiangsu-seedance-bridge\docs\sfx-audition\individual-preview\SFX-068_返回收束音.mp3","kenney_interfacesounds/Audio/back_001.ogg"
